# Amplitude1 Amplitude2 Frequency logL logPrior
1.960451228135471524e+01 1.777621020796938467e+01 7.167567263931147181e+00 5.440464261477856198e+05 0.000000000000000000e+00
1.931896247978176362e+01 1.938271493373503063e+01 6.975575276188661356e+00 5.566408127185262274e+05 0.000000000000000000e+00
1.908339019020210259e+01 1.993223721897857814e+01 5.346364912661097257e+00 5.646907479770624777e+05 0.000000000000000000e+00
1.979139419606295291e+01 1.834920927758163600e+01 7.416896430419796182e+00 5.648657349928414915e+05 0.000000000000000000e+00
1.973756420174611748e+01 9.175339011674020995e+00 7.193835874104266281e+00 5.671947152417766629e+05 0.000000000000000000e+00
1.908217063109848866e+01 1.934606448672762014e+01 5.720261031914054328e+00 5.671986310789173003e+05 0.000000000000000000e+00
1.622411710340410806e+01 1.731995215173527569e+01 7.161868638946503829e+00 5.674929758988632821e+05 0.000000000000000000e+00
1.938023248213761107e+01 1.914633916860608664e+01 7.842695100392399254e+00 5.677543465993681457e+05 0.000000000000000000e+00
1.887932760514917518e+01 1.971814019817307084e+01 9.823663147552887054e+00 5.681572361034149071e+05 0.000000000000000000e+00
1.974436139935265544e+01 1.779272176294803032e+01 6.640573693108891895e+00 5.682219099943034817e+05 0.000000000000000000e+00
1.953081959577387750e+01 1.936084374799064278e+01 6.372375199588771189e+00 5.685645022511730203e+05 0.000000000000000000e+00
1.933182295734299672e+01 1.913647629650032655e+01 5.088226993226617090e+00 5.699239377026541624e+05 0.000000000000000000e+00
1.917786776747839284e+01 1.968667582206557753e+01 8.121067284125125241e+00 5.700125801407120889e+05 0.000000000000000000e+00
1.976805889436539587e+01 1.875452609826497863e+01 6.496821842230674271e+00 5.700355263749276055e+05 0.000000000000000000e+00
1.844843172789677510e+01 1.962427744192839896e+01 9.469724238147167128e+00 5.704569428213649662e+05 0.000000000000000000e+00
1.983614418859395201e+01 1.852162234890323589e+01 8.595663572071805092e+00 5.707148970466689207e+05 0.000000000000000000e+00
1.874803616207510970e+01 1.961430062792856432e+01 9.585298102684401300e+00 5.708302880871912930e+05 0.000000000000000000e+00
1.944444405612648552e+01 1.924077146155561735e+01 8.293864101455110216e+00 5.714283242656423245e+05 0.000000000000000000e+00
1.943485701752164374e+01 1.669649723871715707e+01 7.025594609579919769e+00 5.725314209325310076e+05 0.000000000000000000e+00
1.814975042414042150e+01 1.783194312887332700e+01 7.466701306021097828e+00 5.728092600972632645e+05 0.000000000000000000e+00
1.850564264887367827e+01 1.896399320273826916e+01 6.113144257602809439e+00 5.731466202194207581e+05 0.000000000000000000e+00
1.894552886538672354e+01 1.832799643477766693e+01 8.167481651325351422e+00 5.731961581517279847e+05 0.000000000000000000e+00
1.887763479337818495e+01 1.968376177539140315e+01 6.703818035740168213e+00 5.732822382546568988e+05 0.000000000000000000e+00
1.852729371724578655e+01 1.927338320478201084e+01 9.333793525803201874e+00 5.734301916901614750e+05 0.000000000000000000e+00
1.941081752746196543e+01 1.715466654429678428e+01 7.645868428322910582e+00 5.734822854367450345e+05 0.000000000000000000e+00
1.779476095213946962e+01 1.982852217158424324e+01 5.263431402020700922e+00 5.742696406080676243e+05 0.000000000000000000e+00
1.768057768272731778e+01 1.937198687782553463e+01 5.316851830525711975e+00 5.745862847815805580e+05 0.000000000000000000e+00
1.396618877064227426e+01 1.794939145321876595e+01 7.166326324223385669e+00 5.745916020000550197e+05 0.000000000000000000e+00
1.434378518803482727e+01 1.749712413763900543e+01 7.183207759290977990e+00 5.746684468499778304e+05 0.000000000000000000e+00
1.967491355778754780e+01 1.817387106430038202e+01 9.001444549024542496e+00 5.748541934511061991e+05 0.000000000000000000e+00
1.405601268704105777e+01 1.958613231044856207e+01 7.141997655689783286e+00 5.751694603802512866e+05 0.000000000000000000e+00
1.829962509830400919e+01 1.942868039532381985e+01 8.658579956971610869e+00 5.751782798277527327e+05 0.000000000000000000e+00
1.659343473764207388e+01 1.990320224736449362e+01 6.460984925347139196e+00 5.751826877787738340e+05 0.000000000000000000e+00
1.743496857090380203e+01 1.988081562500287802e+01 9.390406910368575666e+00 5.759436093724890379e+05 0.000000000000000000e+00
1.813063574949111256e+01 1.919675582354925325e+01 5.615222653612075732e+00 5.763127641075907741e+05 0.000000000000000000e+00
1.813521520523642039e+01 1.916734573178435497e+01 5.777161875614492459e+00 5.765467484736160841e+05 0.000000000000000000e+00
1.906877846360789519e+01 1.859244238569371532e+01 8.465023788638820434e+00 5.766705971783363493e+05 0.000000000000000000e+00
1.873001577555155706e+01 1.873934345432320825e+01 8.808155620437220890e+00 5.768422219373298576e+05 0.000000000000000000e+00
1.725353078228136638e+01 1.963633334210755521e+01 5.089832679049490771e+00 5.768981931500497740e+05 0.000000000000000000e+00
1.950130892301594088e+01 1.741982141924488303e+01 9.145914683687390578e+00 5.772230748545483220e+05 0.000000000000000000e+00
1.650317127390407279e+01 1.952030417145521923e+01 6.940427972888892683e+00 5.781884143371626269e+05 0.000000000000000000e+00
1.994865449333729401e+01 1.592707553749455407e+01 5.351292511884671477e+00 5.784296412015205715e+05 0.000000000000000000e+00
1.630168132930825919e+01 1.957989057031100799e+01 5.523881806611310452e+00 5.787663344010437140e+05 0.000000000000000000e+00
